target,comment
2,سلام رضا خان اگه خواستی این با ربیای برنامه بسازی لطفا دیگهدحالا بلند شو رو بساز انقدر نشستیم حرف زدیم مملکت را به گند کشیدن از اقای روحانی بخواین به جای لباس روحانی لباس رزم وخدمت بپوشد لباس کار مگه من بالباس شبم میتونم برم سر کار لباس ایشان مال صحبت کردن صدیقان است الان موقع بلند شدن وکار کردن است حرف بسسسه دیگه راجع برجام حرف نباشه
2,۱۴۱۶ کمدی سبک چارلی چاپلین دارن کار میکنن 
2,سلام جناب رشید پور محبوب  از برنامه عالی  همیشه سلامت باشید در جشنواره هم فوق العاده بودید مثل  باشید
2,سلام صبح بخیر
2,شماره کارت اون هموطن کجاس
2,سلام آقای رشیدپور ازاینکه دوباره شما رادرحالا خورشید میبینم خوشحالم چیزی که مراخیلی غمگین کرده پایان یافتن برنامه خوب وجذاب شما است بنده بیننده هرروز شما هستم ازقرچک اگرمیشد کاری بکنید برنامه ادامه داشته باشه فقط شما هستید که مشکلات مردم رارسانهای میکنید خیلی خیلی ممنونم از برنامه خوبتون شمارا بخدا میسپارم
2,محسن چاوشی عزیز
2,خیلی خوشحال شدم بسیار عالی اگه با اجرای آ قای رشید پور باشه
2,بازیگر دوست داشتنی
2,وای پر از دلتنگیه مبهم رویااا اما قشنگگگ
2,تبریک میگم خیلی برنامه خوبیه ایشالا بتونه مشکلات مردمو به مسئولین گوشزد کنه 
2,خوش امدی
2,درود برشما کهحرف دل مردم رو میزنید
2,سوپر استار واقعی دم ش گرم
2,سلام مرسی اقا رضا
2,شای رو به مردم سرزمینمان هدیه کنید امنیت و امید رو دوباره به دل جوانان برگردونید برای همه سلامتی و آرامش و شادی آرزو میکنم
2, 
2,بانوی عزبز کشورمون 
2,زودتر با انرزی بیشتر بر گردید
2,من فرستادم همشهری عزیز ولی همه اینها عالی هستن و روحیه میدن مثل شما آقای رشید پور خندان و شاد سلامت و موفق باشین 
2,اقای رشید خیلی ممنونم از شما بابت انرژی بی نظیرتون
2,سلام من حسین دهیار روستای نجم اباد از توابع بخش کاخک شهرستان گنابادهستم و برنامه بسیار جالبتون رو بهتون تبریک میگم خوش بحالتون که اونجا برف اومده سرناهاش برای مایه
2,دمش گرم بنده هم به ایشون رای دادم
2,الهی برف ببار مثل قدیما یک متر
2,احسسسنت به این هموطن عزیز به عنوان یک بانوی ایرانی بهشون افتخارمی کنم انشاالله سلامت باشند
2,سلاممم اقا رضا از بندرجاسک هستم هرروز برنامه جالت میبینم ولی خدای گیر میدی بع همکارت اسمش نمیدونم همین کله دوطرفه کچله
2, 
2,تتلو 
2,سلام خداقوت ی برنامه واقعامجری باشعوروبادل وجرات ومردمی داشت وروزمونواول باتوکل بخداوبعدبامیداجرای خوب ودلسوزانه اقارشیدپورشروع میکردیم واقعاالان غموماتم گرفتیم تروخدااین دولت تدبیروامیدرودریاب واقعانامیدشدیم دیگه چقددروغ ریاتظاهرتولباس پیغمبرص نونمون اجرشد
2,همین احترامی که به مخاطب تون میگذارید باعث شده بهترین برنامه صداوسیما را داشته_باشید خسته نباشید و ممنون
2,امروز دیگه حسابی کولاک کردین استاد محمد اصفهانی اسطوره موسیقی جاتون توی قلب ما ایرانی هاس
2,کتابخونتون خیلی زیباست منم دوست دارم همچنین کتاب خونهای داشته_باشم ولی امکانشو ندارم مبارکتون باشه
2,چرا وزیر آموزش و پرورش پاسخگو نیست
2,آقا در مورد شرکتهای هرمی که فعال هستن توضیح بخواهید ما هم بدونیم این شرکتها که وابسته به افراد دولتی هستن مثل ما مردم عادی مالیات درامد و مالیات حقوقهای هنگفت و بیمه پرداخت میکنن یا چون وابسته به دولت هستن معافن طبق قوانین تصویبی خودشون
2,چرا به بچه پفک میده
2,نه اتفاقا این اتفاق خوبیه که بسیار جدین در کار و این حرفه البته که بسیار شوخ و شیرین هم هستند 
2,خانم متخصص بسیار دوست داشتنی 
2, امیدوارم به کمک مردم اومده باشین
2,آقای رشید پور برنامه شما بینظیره بینهایت سپاسگزارم ازشما وهمه عوامل بخصوص آقای نشاط هم تشکر ویژه دارم خداروشکر حداقل شما هستید تا دردهای تمام نشدنی این مردم وفادار ومظلوم مارو عنوان کنید ولی کو گوش شنوا با تشکر پرنیا ازرشت
2,برا هرکی لاتی واسه ما شکلاتی
2,بسیار عالی احسنت با مجریگری اقای رشیدپور مگه میشه برنامه بد باشه
2,عشششقه
2,  واقعا لایک داری حرف حق میزنی
2,به به خیلی عالی از فردا با حس خوب از خواب بیدار میشیم
2,جناب رشید پور هزاران لایک داره برنامه قشنگتون اما امروز با کوبیدن اقای الهی نیا باید بگم بی نهایت لایک به وجود و شرف شما
2,یدونهای پرویز جان
2,سلام آقای رشیدپورباتشکرازبرنامه خوبتان میخواستم ازشماتشکرکنم ازاینکه دربرنامتان سعی میکنیددرددل مردم رابگوش مسئولان برسانیدمن خودم یک پزشک هستم که ازحدودیکسال پیش درطرح تحول سلامت شروع بکارشدم میخواستم عرض کنم اینقدرکه میگفتن پزشکان درآمدنجومی دارندآنقدرهم نیست
2,خودشم حرف خودشو قبول نداشت 
2,برنامتون عالیه خواهش میکنم برنامه رو ادامه بدهید سپاسگزار از این مدت که زحمت کشیدید خدا به همه شما عزیزان سلامتی عطا فرماید 
2,داستانش جالبه
2,عشقییی 
2,ایشاالله زودبرمیگردن بنده خدا خیلی کارش فشرده بود باید یه استراحتی بکنه آقای رشیدپوربهت افتخارمیکنیم به قول ماکردها خوشاله دالگت خوش به حال مادرت 
2,سلام خدمت همه بچههای حالاخورشید خسته نباشین برنامه تون عااالیه من از قدیم برنامههای صبح اقا رشیدپورو میدیدم خداحفظتون کنه انشالله که حرف دل مردمو اشایه میدین خداقوت 
2,سلام مجری توانمنده حالاخورشیدبرنامتون بینظیره 
2,اقای رشید پور عالی هستید امیدوارم همیشه سلامت وپرانرژی باشید
2,هرروزی که شروعش با مهندس خلبان مجری وهنرمند عزیزمون آقای رشید پور شروع بشه اون روز عالیه چندشنبهاش مهم نیست مهم آقای رشیدپوره خدا حفظت کنه
2,دوستون داریم هر دو بامزه رو
2,سلام برادر عزیزتر از جانم اقای رشید پور با دعوت از پاکبان زحمتکش و بر خورد صمیمانهات نهایت تشکر را دارم خیلی مردی بامرامی دو رکعت نماز برای سلامتی خودت و خانواده عزیزت در حرم اقا امام رضا ع بجا میاورم قربانت رزمنده دفاع مقدس
2,بله عالی ست
2,هردو مجری عالی برنامهای زنده با اجرای خوب اقای رشیدپور مادر من هرروز صبح به عشق برنامه اقای رشیدپور بیدار میشه تی وی رو روشن میکنه تورو خدا تمامش نکنید
2,شما خیلی با مزه هستینا
2,بببله عععالی
2,بسیار بانوی هنرمند ودوست داشتنی
2,بله که راضی هستیم عالیه
2,آقای با شعور افرین 
2, 
2,دانههای برف شاد باش میبارد زمین دیگر تاب سیاهی را نداشت خدا آب و جارویی به راه انداخته_است سجده شکر به جا میآوریم الحمدا کما هو اهله الحمدا رب العالمین
2, 
2,دمت گرم رشیدپور نازنین که از موضعت پایین نیومدی و جوابشو دادی
2,خیلی باحالی حق تمام شدن نداری
2,عزیزم عالی بودن
2,منم تمشک و میگفتم تم شک 
2,تولد آقا محسن و بهشون تبریک بگین
2,آقای رشیدپور روز مهندس وتبریک میگم انشااالله همیشه موفق وسربلند باشین
2,۰سلام عزیزدلم من فدای رضا بشم قلبشو قورن 
2,موفق باشه عزیز دلمون کلی ذوقش وکردم همبشه انسانهای واقعی بیارید برنامتون لطفا نه نابغههای قلابی
2,موفق باشید اقای ترابیان
2,خیلییی دل تنگ تونینم الهی هر جا که هستی خوتشتون باشششه
2,براتون آرزوی موفقیت میکنم
2,خیلی خوشحالم 
2,عااالللیه خسته نباشید
2,اون ساعت پایتون هم خیلی شیکه
2,با  دم همتون  نقی جوری بودن که انگار جزیی از خانواده ما هستش و ما هم همون غیرت رو روشون  خنده مارو میخندند و کوچکترین گریه شون ما رو هم میگریوند این یعنی باور کردن 
2,۲_۴_۶
2,عالی بود دورود بر این مردان پاک و کارآفرین
2,سلام صبح بخیر جناب رشید پور ممنون از برنامه خوبتون
2,خبر بسیار خوبی دادی سلامت و موفق و پایدار باشین
2,یه دونهای آقای نشاط
2,عید شما هم مبارک باشه
2,وااای خیلییی خوشحال شدم عالیه بهتر ازین نمیشد هزار لایکید 
2,جون دلم چقدر من دوسش دارم
2,خسته نباشید حاج حسین یکتا
2,گفتگو خوبی بود
2,پروانه هستم از شیراز بهاری
2,حسین اقا حرف نداری به خدا کاش از عزیزان دلسوزی تو مملکت ما بیشتر بودند مت از منطقه زلزله زده هستم با تشکر
2,با سلام انشاالله که ادامه داشته باشه هرروز صبح به عشق دیدن مرد خوش اخلاق تلویزیون برنامه شمارو میدیدم ۱ بله
2,بله خیلی دستتون دردنکنه واقعااا برنامه خوبی دارین
2,۱۶ مهر روز داریوش بزرگ هخامنشی بر تمام ایرانیان مبارک
2,خدا همه مارا عاقبت بخیر کنه
2,جناب رشیدپور خسته نباشی 
2,خیلی عالی
2,سلام سوزان هستم از تهران عاشقتونم
2,لطفا بگید اگر مرده حالا بره سوریه 
2,عالی 
2,خودش با هرکی ازش شکایت کرده رو بیارین تلوزیون نیارین ریدین
2,خسته نباشی آقای رشیدپور مجری توانا
2,چوخ قشنگ دی آقا رضای گل
2,خیلی عالی مجابش کردید که داره چرت وپرت میگه
2,سلام به شما و خسته نباشید به همه حالا خورشیدیها میخواستم بگم خدا با شماست و اول مارکت خدابا کسانیست که مردم دوستش دارن شما تصمیم گیرنده نیستین مردم برنامه خودشونو دوست دارن هر صبح ببینن
2,مرسی از انتخاب خوبتون چقدر عالی که دوباره حالا خورشید ساختین مرسی
2,خدا پشت و پناه همگیتون لطفا زود برگردین
2,الهی قربونت بشم پیر ننه من 
2,سلام خواهش میکنم هرچی زورتر برگردین دلمون تنگ میشه برنامه تون عالیه
2,خیلی عالی ولی واقعا راست میگن حق یاور خوردی
2,زنده باشی دلاور
2,درودبرشماوایشان
2,برای پایتخت بعدی یه نقشی هم به اقای جعفری بدید 
2,انشالله با برنامههای جذابتر شما را ببینیم
2,سلام همشهری تهران پس چی اینجا هوا عالیه پاک پاک هوایی که خیلی خیلی کم پیدا میشه خدا روشکر
2,واقعا مرسی بابت برنامه قشنگتون
2,عالی برنامه تون خیلی امروزی و به روزه و جذاب وپرمحتواست نمیشه گفت کدام قسمتش خوبه واقعا همه عالی
2,ممنون از آقای نشاط که با نشاط هستن نوبخت هستم از شرق تهران پیروز باشین اقای رشیدی پور عزیز
2,اقا رضا ونمکدان عالی
2,بهترین برنامه پر انرژی ومثبت صدا وسیما برنا مه حالا خورشید
2,واقعا عالیه انشاالله موفق وسربلند باشه
2,تشریف بیارن مامنتظریم
2,امیر جعفری کجاست بیاد بزنه تو دهنت انقدر نخندی
2,اهواز هوا خاک دمش گرم البته دم مسؤ لین گرم
2,عالیه
2,اردلان شجاع کاوه عااالی با صدایی معرکه
2,برنامه تون عالیه به خاطر برنامه شما نخوابیدم
2,چندین بار خوندمش عالیه حتما بخونید
2,عالییی حرف نداره به شرطی که همیشگی باشه
2,ممنون از برنامه خوبتون
2,برنامتون عالی هست انشاالله عید استراحت کنید بعد عید با انرݫی بیاین
2,سلام آقا رشیدپور انشاءالله همیشه بدرخشین چون خورشید برای درخشیدنه مثل ماه که باید بتابه خیلی عزیزی برامون
2,وای چه عالی من از سر کار هر روز پیگیر برنامه اتون بودم و همه همکارمم علاقمند شدن به دیدن برنامه خوبتون
2,منتظر دیدار دوباره شما پر توانتر از قبل  از زحمات گروه حالاخورشید 
2,من در این ۲ روز آینده ثانیه شماری میکنم تا برنامه شاد ومردمی شما را ببینم موفق وسر بلند باشی
2,برنامه تون عالیه کلی انررژی میگیربم از این برنامه خوب مخصوصا با اجرای مجری خوب و پر توان اقای رشید  این برنامه تمام بشه
2,ماهم بیصبرانه منتظرتونیم ایول
2,اکثرا خوبن ولی همایون بالاتر
2,صداش فوقالعاده است بسیار موقر و متین خداوند حفظش کند 
2,تبریک به شهاب حسینی عزیز
2,وااای چ عااالی بازم صبحا ب امید برنامتون  روشن میکنم
2,روزتون بخیر خیلی برنامتون جالبه ممنونم ازتون از لندن همیشه در یوتیوب برنامتونو تماشا میکنم
2,چرا رشیدپور اینقد لاغر بوده الان خیلی بهتر شده 
2,پرویز عالی
2,روز مون رنگی باشه بهتره
2,سلام رضا جون خوش اومدی
2,آقای رشید پور خیلی گلی
2, 
2,خوش به حالش چه اراده قوی داشت ما همه جامون سالمه و هی حسرت میخوریم
2,سلام جناب رشیدپور بنازم شجاعتت
2,وای عالیه خدا عمر باعزت بده خ سعیدی ایشون مادر شهیدن
2,روز تمامی مهندسان عزیزم مبارک مخصوصا پسر عزیزم و عروس گلم 
2,اونو  اقا پرویز هنگ  محو شده
2,آرزوی سلامتی و موفقیت برای تک تک اعضای برنامه حالا حورشید 
2,من ارزو دارم روزی برسه شما مرد بزرگ روببینم
2,برقرار باد حالا خورشید
2,خواهشا صدای مارو به وزیر برسونید از برنامه شما هم کمال تشکر رادارم ممنون
2,واقعا هر۲آقاوعزیزودوستداشتنی پایدارباشید
2,۵۴۳۰ خیلی عالیه خدا را شکر
2,سلام آقای رشید پور پیراهن میاد به شما
2,وااای خیلی دوستشون دارم
2,بله خیلی عالیه
2,اقای رشید پور ما به داشتن مجری توانمدی مثل شما تفتخار میکنیم
2,درود بر شما انسان مهربان
2,تورو خدا بگید پایتخت ادامه داشته باشه باور کنید سرگرمیه ما فقط همین سریاله خواهشا این سریال رو از ما نگیرید
2,سلام آقای رشید پور و آقای نشاط من و خانواده از طرفداران برنامه مثبت و پر انرژی شما هستیم و از صداقتی که در برنامه به خرج میدهید ممنونم همیشه سلامت باشید و از بچههای پشت صحنه هم ممنونیم
2,خداقوت شما هم نیاز به استراحت وبازگشت نیرو دارید دست شصت نفرتون پرتوان وخداروزهای خوب برایتان رقم بزند
2,از ایران کانال سه رو نداشتم ولی اینجا در امریکا ساعت نه شب دارم برنامه شمارو میبینم 
2,سلام جناب رشیدپور هزاران آفرین واحسنت برشما مرداخلاق وادب  کاشتی بابرنامه  دردنکنه 
2,سلام آقای رشید پور عزیز خوش به حالتون چه برفی کاش شهرما هم میومد
2,خوشحالم که باز هستین کنارمونموفق باشید و پایدار
2,سلام آقا رضای گل خیلی برامون عزیزید خدا حفظتون کنه من به اندازه پسرم شمارو دوست دارم
2,بگو دوووغتو بنوووش
2,استاد شادمهر عقیلی
2,سلام اقای رشید پور صبحتون بخیرمن برنامتونو خیلی دوست دارم ممنون منم میگیم گل میخرم اینم گل رز قرمز تقدیم شما 
2,وای چه خوب
2,خوش آمدید منتظربرنامه بسیار خوبتون بودیم 
2,اقا رضا
2,سلام جناب رشید پور عزیز هم خودتون گلین وهم تمام عوامل برنامتون برنامتون عالیه دعاکنین مشهدهم برف بیاد الودگی این شهر هم کمتراز بقیه جاهانبست واقعا معذبیم ماکنسرت نخواستیم فکری بحال الودگی کنید
2,تشکر از برنامهی عالیتون که با اجرای بهترین مجری آقای رشید پور همشهری عزیزم بهترو بهتر نیز میشه تورا خدا برنامه تون رو تمام نکنین
2,ای جووونم بانوی مهربون سینما خانم خیر اندیش همیشه مثل گوهر میدرخشه 
2,بیردنه سن رشیدپور یاشا یاشا
2,منم بارها خوندمش عالی بود
2,میشه چند دقیقه نقی باشن
2,بله عالی
2,درود به استاد پرستویی
2,عالی ممنون
2,ان شا الله که چیزی نباشه همیشه سالم وسلامت باشین
2,منم دوسش دارم خیلی گله
2,سلاممصطفی سهرابی دوساری جیرفت هستم برداشت خرما هست از شهرما هم بگو
2,خیلی بامزه و صادق هستی
2,سلام خدا قوت از برنامتون عالیه
2,ممنون جناب رشید پورصبح عالی بخیر
2,شمابسیارعالی هستیدممنون که این همه با ملت ایران همدردی میکنید
2,دورت بگردم اقا رضا دلم برات تنگ شده مادر
2,صبح برفی زیباتون بخیر و شادی
2,آرزوی سعادت وسلامت برای بچههای حالاخورشید
2, 
2,چهره سال منم من لیلیپوت فیس
2,خیلی خیلی خوشحال شدم ممنون به خاطر حضور گرمتون 
2,درود بر شما حالا خورشیدیهای بزرگوار
2,درود به اقا رضای گل
