target,comment
1,بواقع یکی از بهترین بازیگران بی نظیر سینمای ایران اقا شهاب حسینیه البته بازی درفیلمهای بامحتوا ونه هر فیلم بی نام ونشان ومسخره ایکه سینما را به ابتذال میکشانند وهرننه من غریبی هم بهر علت وسببی نامش رو بازیگر گذاشته درهرحال اقای حسینی ازبهترینهای سینمای ایرانه وموجب افتخار هرایرانی عاشق هنر درود
1,تورا خدا تموم نشه برنامتون ادامه داشته باشه بله که راضیم
1,درست گفت بخدا
1,اصلا خودتونم آقای رشید پور چهرهی سال هستین در صداقت
1,بانوی دوست داشتنی مهربان و گوهر یکدانه سینما زنده باشی و پاینده سالهای سال 
1,سلام صبح بخیر جناب آقای رشید پور با تشکر فراوان از برنامه  رشید پور
1,نخبه در بازیگری احسنت 
1,حامد همایون عشقه عشق
1,اقای رشید پور خیرخواه
1,حرف دل مردمو زدی 
1,خود گویید و خود خندید عجب مرد هنرمندی ملیجک روحانی 
1,چقدر این کتاب خوب بود وای چقدر عجیب بود برام که تو برنامه حالا خورشید میبینم ابن کتابو این کتاب مدتها زندگی من رو تو دالان خودش نگه داشت و اسیر کرد عااالیی بود
1,نمکدون حرف نداری
1,مهران مدیری عزیییز
1,سلام آقا من از انگلیس هستم اول خواستم بگم مرسی از برنامهها تون بعد خواستم بگم که اگر در عکس یا پوستر زیبا که گذاشتین اگر زیر یکشنبه تاریخ را اضافه کنید خیلی خوب میشه لطفان چون ما که اینجا همش با تاریخ خارجی هر روز کار میکنیم تاریخ ایران رو هم همزمان بفهمیم خیلی خوبه ممنون
1,سلامی گرم از جنوب کشور بندرعباس خدمت اقای رشید پور مهربان ومردمی بی نهایت از برنامهی صمیمی ومردمی تون سپاسگزارم فاطمی
1,اقای رشید پور من هرروز برنامه خوب شما رو میبینم عالی عالیه همیشه ادامه داشته باشه ممنون
1,ی برنامه فوق العاده با مجریهای عالی لطفا ادمه داشته باشه
1,خدا قوت میگم بهتون خیلی کارتون درسته اقای رشید پور یعنی مگه داریم بهتر از شما چقدر خوبه که واقعا جسارت اینو دارین که همهی حرفاتون را به راحتی میزنین و از حق مردم دفاع میکنید و هز هیچ کس نمیترسین به جرات میگم برنامه شما بهترین برنامه تلوزیونی خیلی دلم تنگ میشه برای برنامتون زود برگردین
1,توروخدا اسم منو هم بخونین تو برنامتون هرروز صبح میبینم لذت میبرم وازاینکه اقای رشیدپور اینقدر واضح میخاد همه چی رو مردم ببین درمورد مشکلات  بهترین ارزوها رو دارم 
1,هرچه قدر از پایتخت تعریف کنم کمه از طرف من از آقای تنابنده تشکر کنید
1, 
1,عشششقه
1,چرا رشیدپور اینقد لاغر بوده الان خیلی بهتر شده 
1,۰۱۱ پرچم شهسوار بالا
1,سلام برنامه شما بینظیره خدا را شکر که هستید 
1,همه خانواده ما تو بدترین شرایط سریال شمارو میبینیم و حالمون واقعا خوب میشه خواهش مون اینه که پایتخت رو ادامه بدید عالی بودید
1,اقا رشید پور دیشب تالا تو صدا سیما بودی 
1,من سالها پیش که جوان بودم و عاشق این کتاب را خواندم
1,با سلام صنم از تهران برنامتون بسیار عاالی فقط لطفا بگید تبلت وموبایل رو ارزون کنند و ارزش پول را بیشتر کنند تو این اوضاع ممنون میشم
1,تنها برنامهای که از دیدنش چشم پوشی نمیکنم طیبه رازقندی
1,دوسداشتنی
1,واقعا دمتان گرم اقای رشید پور  خودتان باشید
1,همگی خوب و عالی هستند آقای همایون شجریان فوق العادهاند
1,خبر خیلی خوبی بود
1,عالیه ازبس پس خوشروئی والله
1,خیلی خانوم باشخصیتی هستن سرکاد خانوم خیر اندیش
1,آفرین
1,ببخشید میشه بهشون بگین مثل نقی حرف بزنن یکم خیلی از حرف زدن نقی معمولی لذت میبرم
1, 
1,اقای رشسد پور بپرسید چرا تو دوره قبل صدای مردم رو پخش نمیکردن چرا مردم به صدا و سیما میگن صدا و سیمای میلی
1,سپاس از شما از صحبتهای و حرفهای بجا امروز و برنامه پر مخاطب و قشنگتان سلامت باشید و برقرار دوستدار شما طاهری
1,دمتون گرم دست علی همراهتون
1, 
1,خوش بحال شما برای ما هم دعا کنید 
1,به به خیلی عالی از فردا با حس خوب از خواب بیدار میشیم
1,بسیار عالی و با محتوا
1,ای ول اقای رشیدپور
1,ببین پرویز داداش رشید پور زیاد بهت رو داده به دستو پام نچسب له و لوردت میکنمهاها
1,صحبت اخرشون بهترین تو دهنی بود
1,وای خدایا حتما باید ببینم
1,واااو عشقم اومد
1,امروز با برنامه تون خیلی لایک داشتین خیلی عالی بود حریف خوبی برای مهمان برنامه بودید روزتون مبارک
1,آفرین آقای رشید پور عزیز تو دل ماایرانی جا داری از اصفهان هستم
1,عشقید شما
1,خیلی هم عااالی زنده وپاینده
1,خوشحالم بسیار که دوباره قدم رنجه  پور مردم چشمشون به حمایت از طرف از شماست از بدبختیهامون پیش مسولین حمایت کنید اینهمه تورم داره ملت رو به کجا میبره از گرونی مسکن و اجاره نشینی و ووو چرا کسی بداد مردم نمیرسه بخدا خسته شدیم شب و روز میدویم ولی به هیجا نمیرسیم مملکتمون شده مثل تردمیل هر چی میدویی هنوز داری درجا میزنی
1,بعععله
1,سلام روز بخیر از تهران بیننده همیشگیتون
1,سلام زود برگردید صبح با برنامه شما حال وهوای دیگری دارد
1,بله من همیشه برنامه شما رو نگاه میکردم
1,یاشاسین محسن تنابنده
1,بله عالیه
1,به خوبی شما خوبیم از تهران
1,حامد همایون 
1,عالیه عالی
1,مهران رجبی حرف نداره حیف نبود اقا مهران خودتو با گلزار مقایسه کردی
1,دست مریزاد پاینده باشید وسلامت
1,عزیز و دوست داشتنی هستی انشالله سلامت و مستدام باشی
1,دم رضا رشیدپور گرم همیشه حرف حق رو میزنه
1,ان شا الله که چیزی نباشه همیشه سالم وسلامت باشین
1,سلام خدمت آفای رشید پور وآقای نشاط خوش اومدید خیلی جاتون تو شبکه خالی بود
1,از موقعی که برنامه شما تموم شده صبحها تلویزیون ما خاموشه مرسی که دوباره میاییین به خونه هامون 
1,برنامه عالی بود
1,اقای اقداری داریوش ایران زنده باشید افتخار مای داریوش دوم
1,سلام آقا رضا رشید پور لطفا اگه میشه گزینه جوک گفتن این برنامه صبح بخیر ایران اضافه کن به حالا خورشید اگه هم جوک میخوای میتونی روی من حساب باز کنی مرتضی ممتاز از شهر ضا اصفهان ۰۱۳۵۶۰۲
1,بله بله بله خیلی هم عالیه
1,۱ عالیه برنامتون
1,یکم با لهجه صحبت کنن
1,عشقی عشق
1,اقای رشید پور عزیز من
1,سلام خدا قوت از برنامتون عالیه
1,ممنون انشااله با دست پر وبا انرژی تشریف بیاورید سلام به آقای نشاط برسانید برنامه تکرار نداره
1,اقای رشید پور جهره سال است وشجاع
1,تبریک جناب آقای رشید  قوت
1,
1,سلام و خسته نباشین خدمت شما من صبحها برنامه فوق العاده شمارو میبینم و جزیئات برنامه رو به همسرم تعریف میکنم ولی نمیشه برنامتون عصرها تکرار داشته باشه که هر کی صبحا امکان دیدنش رو نداره عصرها ببینه
1,سلام آقای رشید پور ممنونم از برنامه خوب شما مسعود شمس از تهران لطفا پیام بنده را بخوانید
1,بهترین برنامه پر انرژی ومثبت صدا وسیما برنا مه حالا خورشید
1,سپاس از برنامه خوبتون
1,درود برشما
1,فقط جناب رشیدپور دوست داشتنی
1,دمش گرم اقا شهاب
1,آقای رشیدپور بله رو بابت فصل ۱ بگیرید
1,جونه دلممم
1,انشاا هرچی که از خدا میخواهی_خدا بهت بده عزیزم
1, 
1,به امید دیدار زودتون
1,دم شما گرررم 
1,سردار دلها سرلشکر سلیمانی
1,هورااا 
1,عالیییه موفق باشی ۱
1,فوق العاده س
1,ایشون عالی هستن 
1,آرزوی سعادت وسلامت برای بچههای حالاخورشید
1,به رضای عزیزودوست داشتنی بگیدهمیشه قهرمان  تامجردوجوان  نبودولی بعدازازداوج قضیه برعکس  شاالله همیشه موفق وبااعتمادباشی ماکه به خدارسیدیم
1,سلام بر آقا رضا رشیدپور دکتر نسخه مینویسه داروخونه نسخه رو میپیچه ارادت دارم حالاخورشید مفید و خوبه براتون ۱ فرستادم فلسفین جانباز ۲ ساله تهران
1,ایشون همیشه عالی هسن 
1,اسطوره شادمهر عقیلی
1,یعنی جون انسانها بی ارزش پوچ دست مریزاد اقای رشید پور باعث افتخاری
1,اکثرا خوبن ولی همایون بالاتر
1,تو سال حمایت از کالا و کارگر ایرانی یه غلطی کردیم خواستیم حمایت کنیم الان سرگردون شدیم فقط من نیستم کمه کمش ۳ نفر مث من هستن شرکت جی ال ایکس گوشی شاهین پبش فروش کرد تحویل اواخر اردیبهشت بود اردیبهشت تموم شد خبری نشد اوایل خرداد گفتن تحویل اخر خرداد اخر خرداد هم گذشت گفتن هفته اول تیر تحویل میدیم که تا امروز تحویل ندادن من یکی دگ غلط کنم بخوام حمایت کنم ۱ میلیون پول چند ماه دستشونه حالا یک سری اسفند ۲ ثبت نام کردن حمایت کالای ایرانی یعنی دربه دری فقط کافیه وارد پیج شرکت بشید و کامنتهارو بخونید 
1,واقعا خوشحال شدم 
1,اگه متن منو بخوانی جلوی تلویزیون میگم عالی عالی برنامتون
1,بسیار عالی بوده انشاالله ادامه پیدا کنه با شیرین زبونیهای و اعتماد به نفس آقای رشیدی
1,بهنام بانی 
1, راسی چرا جمع این درصدها ۳ نمیشه 
1,چهره مهربونی دارن ایشون خداوندحفظشون کنه
1,افتخار هنرسینمای ایران بابازیهای بی نظیرشان بهترین معلم برای نسلهای اینده وطن که شیفتگان هنرسینماوتاتر هستند درود بشما باانتخاب چنین چهرههای محبوب دربرنامه خودتان اقای رشیدپور
1,عالی بود 
1,عالیه ایشووون عااالی
1,برنامه حالا خر شید با دعوت از احسان علیخانی
1,برنامتون بسیار عالیه امیدوارم ادامه پیدا کنه
1,من حیث المجموع خیلی برنامهی خوبیست مخصوصا که مجری برنامه اقا رضای رشیدپور است اما چندتا از برنامهها خوب نبود مثل حضور اقای خیابانی و صحبتهای ایشان که اصلا در شأن ابن برنامه نبود از مردم پول خواستن و دستهای خالی را نشان دادن اگر قرار باشه مجری بشه سازنده و هر کسی کار دیگری را انجام بدهد که صحیح نیست ایشان باید مردم را ترغیب به کمک میکرد نه اینکه خودش را قاطی کند و پول بخواهد برای ساخت منزل و بگوید هر روز حسابم را چک کنید و بهر حال علت اصلی دیدن این برنامه وجود مجری خوش فکر و اصلاح طلب ماست
1,همیشه شاد و سرافراز باشید
1,همگی سال اینده سال شانستون باشه مخلص استاد رشید پور هم هستیم
1,اورا خود التفات نبودی ب صید من من خویشتن اسیر کمند نظر شدم
1, 
1,سلام جناب رشید پور محبوب  از برنامه عالی  همیشه سلامت باشید در جشنواره هم فوق العاده بودید مثل  باشید
1,آقای رشید پور عزیز بهترین گزینه هست
1,انقد بالاو پایین پرید تا رای جمع کنه پدیده موسیقی ایران فقط حمید هیراد 
1,به اروز م رسیدم با دیدن اقای اصفهانی بی صبرانه منتظریم
1,بامید خدا اینقدر پیام ندید بسلامت
1,خیلی عالیه فقط کاش شبها پخش میشد
1, 
1,سلام اقای رشید پور وخسته نباشید دستن کارای برنامه خوب حالا خورشید خدا قوت بهتون بده تنتونم سالم باشه الهی امین
1,بعد بگین رضا گلزار سوپر استاره مثل شهاب حسینی نداریم 
1,اقا مگه نگفتین وام میدن به مستمری بگیران رفتیم میگن پول نداریم جرا دروغ میگید زنتونو گاییدم کیرم توپستون ابجیتون
1,برنامه شما لا یک داره
1,خیلی گلی
1,سلام خدمت آقای رشید پور مجری همه چی تمام از همه نظر دلمون برای اون روی ماهتون تنگ شده انشاالله که از فردا میبینیمتون
1,واقعا خسته نباشید عزیزان حال خورشید آرزوی سلامتی براتون داریم و منتظرتون هستیم که زودتر برگردید 
1,آقای علوی هنرپیشه توانایی هستند خوشحالم ازشون دعوت کردید من در سریال هشت ونیم کار ایشون ومیپسندم 
1,آقای رشید پور عشق ما کهنوجیها هستی فداتم با غیرت 
1,کتابش عالیه حرف نداره
1,من کتاب ملت عشق را معرفی وتوصیه میکنم عالیه
1,سلام عالی چرا راضی نباشیم کدوم کانال صبح این نشاط و شادی رو به ادم میده کدوم کانال واقعیت کتمان شده رو به زبان شیرین طنز بیان میکنه و کدوم کانال مجری به این باحالی و خوشتیبی داره 
1,بله خیلی من تلویزیونم کانالهای ایران رو نمیگرفت به خاطر برنامه شما رفتم انتن خونگی گرفتم و مدل خونه رو به هم زدم فقط برنامه شما رو ببینم
1,احسنت جناب رشید پور اون اقا صد در صد با شما دعوا داشته و همش میخواسته از قدرتش استفاده کنه اگر برنامه زنده نبود حتمن کار به جاهای باریک میکشید با این حال خوب جوابش را دادید موفق باشید
1,ب امید موفقیتهای بیشتر برای رضای عزیز زنده باشی انشاالله آقا رضا
1,گفتگو خوبی بود
1,ممنون آقای رشید پور عزیز که دوباره شما رو تو قاب تلویزیون میبینیم سپاس 
1,آقای رشید پور عزیز فرزند ملت ایرانبراتون آرزوی سلامتی و موفقیت دارم زنده و پاینده باشی
1,رشید پور انتخاب امروزت عالی بود برا انتخاب مهمون برنامه کلی کیف کردم عاشق همه تونم موفق باشی
1,سلام به برنامه حالا خورشید چقدر خوشحال شدم از امروز صبح برنامه تان شروع شده یک خسته نباشید جانانه به اقایان رشید پور ونشاط وبقیه عزیزان دست اندر کار دیگه صبحها منتظر برنامه خوبتان هستم ان شالله روز بروز موفقتر بشه حالا خورشید میدونم که هوادار زیاد دارید منم یکی از هوادارانتانم
1,سلام اقای رشید پور درباره نظر سنجی امروز خواستم بگم بنده با فضای مجازی اطلاعات میگیرم وروزانه تو خونه به سختی چیزهای خونگی درست میکنم خرج سه تا بچه هامو میدم
1,چقدر این دزد باحال بود 
1,به آقای تنابنده بگید که خواهش میکنیم که پایتخت ۱ حتما بسازن
1,به نظرمن شما عالی  اجراتون هم  از حضورتون
1,ممنون که میاید
1,سلام امروز برنامه حالا خورشید در روز دختر از دوتا پسر دعوت کرده بودن و باهاشون صحبت میکردند واقعا جای تاسف داره بی دلیل نیست که دخترهای این سرزمین هر کار درست یا نادرستی رو انجام میدهند که دیده بشن یعنی تو چهل میلیون نفر جمعیت خانم این کشور دوتا دختر نبودن که دعوت بشن من پیشنهاد میکنم به حالا خورشید پیامک بدهید و اعتراض امون رو بیان کنیم این حد اقل کاریه که میشه انجام داد ۸ این پیامک حالا خورشید هست همین کارهای کوچک خودش تاثیر گذار هست سپاسگزارم
1,واقعا بدون نقصه بازیشون
1,حقشه هیچ کسی نمتونه باهاش رقابت از همه لحاظ بیسته شخصیت نزاکت فرهنگ متانت همه چی بیست
1,برنامه امروز عالی بود
1,عالیه واقعا خوب بود حتما بخونید
1,بلههه بدون تردید
1,عزیزم
1,وااای این اقای نشاط عالیه خیلی خوب اجرا میکنه موفق باشن
1,مسئولین زیربط اومدن به حساب خودشون چون اقای رشیدپور هم در موضوعات خلبانی و هواپیما و مسایل مربوط به ان اشراف دارن ببخشید ولی لایقشه بگم این مرتیکه رو فرستادن تا به حساب خودش با استفاده از کلمات تخصصی و اظهار فضل و سفسطهگری اذهان رو منحرف کنه و فریب بده در واقع مردم رو احمق حساب کردن غافل از اینکه خودشون احمقن و مردم باهوشتر از این هستن که متوجه نشن که این نادان داره یه مشت اراجیف دیکته شده بهش رو تحویل ملت میده کافی بود بجای این چرندیات همون لحظه اول شفاف از خانوادههای این عزیزان ومردم عذرخواهی و بلافاصله استعفای خودشون رو اعلامکنن کاری که در همه جای دنیا مرسومه اینجوری سنگینتر بودید الان دیگه کلا خودتون رو با یک مشت مزخرف که تحویل مردم و اقای رشیدپور دادی قهوهای کردی رفت متاسفم
1,من فرستادم همشهری عزیز ولی همه اینها عالی هستن و روحیه میدن مثل شما آقای رشید پور خندان و شاد سلامت و موفق باشین 
1,اصلا جناب رشیدپور یه انرژی خاص نهفته در وجودشون دارن همین باعث شده اجرای فوق العادهای داشته باشن خسته نباشی دلاور خداقوت پهلوان
1,افرین بر اقای رشیدبور 
1,شهاب حسینی عالیه 
1,خیلی خوشحال شدیم که برنامهی جذابتون دوباره پخش میشه
1,شادمهر عقیلی
1,اقای رشیدپور از پخش اهنگهای بلوچی ازتون متشکریم
1,آقای رشید پور عزیز دلسوز ملت ایران براتون سلامتی و شادکامی و موفقیت آرزو دارمامیدوارم برنامه تون همچنان تداوم داشته باشدزنده و پاینده باشید
1,به به بفرمایید منتظر تون هستیم 
1,آخ جون
1,خوب جلوش کم نیورد رشیدپور 
1,خیلی قشنگ  رمانه
1,مبارکهاباشه اقای حسینی
1,چه خبر خوبی خیلی خو
1,اخ جون من بچهام ۸ماهشه حالا خورشیذ دوست دازه
1,هنرمند دوست داشتنی 
1,به امید خدا
1,اقای رشید پور تورو خدا اول خدا بعد شما 
1,۱ بلی 
1,سردار سلیمانی عزیز
1,درود به شما جناب مهندس
1,توروخدا برنامه رو همیشگی کنید از خیلی جهات برنامه شما تک و نمونه ست
1,سلام صبحتون بخیر برنامتون خیلی عالیه
1,خسته نباشید دلاورها
1,سریال پایتخت یکی از بهترین سریالهای تلویزیونه و من خیلی دوسش دارم لطفا ادامه داشته باشه از آقای تنابنده و خانم رامین فر هم بسیار ممنونم
1,نمکدون ما
1,ازگل شمابهتری شماعشقی نفسی دمت گرم دلت شادولبت خندون
1,۱ عالی عالی اقای رشید پور بزرگوار ی لطف بکن در مورد ریزگردها ما امیدوار باشیم ی روزی تمام میش یا از خوزستان برای همیش برویم متشکرم
1,روزتون مبارک
1,این کتاب رو من دوبارخوندم خیلی رمان قشنگیه
1,عاشقتم حاج سین
1,بی نظیره 
1,پرچم مشهدیا بالاست چون صدا وسیمامفتخراست به بودن عزیزانی چون اقای مسعودی خانواده ارجمندها اقای عطاران و همشون نور چشم مشهدیان
1,دم همشون گرم تک تک بازیگرای سریال پایتخت ممنون بابت تلاش زیادشون
1,خیلی خیلی عالیه ۱
1,خیلی عالیه خسته نباشید
1,چه خوووب فقط یکی بگه مجری جناب رشید پورن انشاالله
1,اگه خدا بخواد امروز هوای اهواز ابریه نم نم بارون هم داشتیم به امید خدا تغییر جهت نداشته باشیم 
1,خسته نباشید واقعا خیلی برنامتون خوبه
1,دمتون گرم برنامه تون مستدام و تنتون سلامت 
1,اقای رشید پور ممنونم حرفهای مارو به اقای رئیس جمهور رسوندید در مورد خودرو هیبریدی پیگیری کنید لطفا عالی بود
1,پاینده باد حالا خورشید
1,سلااام آقای رشید پور خسته نباشی مرد 
1,بله خیلی عالی با مجری توانمندی مثل شما
1,درود بر این مرد
1,  واقعا لایک داری حرف حق میزنی
1,عالی 
1,سلام جناب رشید پور بر نامه تون فوقالاده جالب وعالیه خداوند بهتون سلامتی بده برای ادامه برنامه همینطور همکاران محترمتون موفق وخسته نباشین میگم بهتون
1,وا قعا با این برنامه حالمون خوب میشه روز مونو با روحیه شروع میکنیم ازتون ممنونیم که دوباره  خورشید
1,آقای ترابیان خیلی اقاهست و با شخصیت هر سه گلند آقای رشید پور آقای نشاط آقای ترابیان
1,عالیه که برگشتید
1,  متاسفم برای بعضی که به اسم تولید ملی از مردم سو استفاده  ش هم شرکت گوشی  از این قراره که ما حدود ۵ماهه که گوشی موبایل پیش خرید کرده این و حالا سه ماه از زمان ارایه شده برای تحویل گوشی گذشته ولی نه تنها گوشی رو تحویل نگرفته این بلکه حتی جواب هم یا نمیدن و یا بسیار ضعیف جواب میدهند و به اصطلاح وعدهی سر خرمن  آقای رشید پور از شما خواهش میکنیم تا این موضوع رو بررسی کنید تا یک سری از اعتماد مردم سو استفاده  شما خواهش میکنیم یه سری به اینستاگرام  بزنید تا بهتر در جریان ماجرا قرار  موقع که ما گوشی رو پیش خرید کردیمحدود یک میلیون و صد هزار تومان بود که میشد یه گوشی نسبتا خوبی  حالا نه گوشی رو میدهند و نه پول مون رو پنهان جواب  اگه پول مون رو هم پس بدهند دیگه نمیشه با این وضعیت بازار گوشی  میکنم رسیدگی  امیدمون رسانه و شما  از پیگیری و لطف شما
1,عشق مادری در وجود بانو گوهر خیراندیش موج میزند مادر خدابیامرز بنده حقیر هم یک شباهتی با ایشان داشتند ومن ضمن تبریک روز مادر و روز زن رو به بانوی گرامی عرض میکنم در ادامه زندگی این بانوی مهربان رو مادر خطاب میکنم اگه مارو قابل بدونن خیلی عزیز هستید برای ما مادر مهربان
1,سلام من فاطمه امیدی ۲ ساله از گیلان هستم طرفدار پرپاقرص پایتخت لطفا این کامنت منو برای آقای تنابنده و خانم رامین فربخونید و از طرف من یه خسته نباشید حسابی بهشون بگید
1,آقای رشید پور میگم شما که رفیق گرمابه و گلستان بچههای هیئت دولت هستید بهشون پیشنهاد بدید بجای وزیر راه وزیر فرهنگ رو بفرستید یاسوج فک کنم ایشون یکم مسئولیت پذیر باشن مثل سانچی که وزیر نفت باید میرفت بجاش وزیر کار رفت
1,آفرین به رضای عزیز 
1,درووود بر شما که هنوز فراموششون نکردین
1,من در نظر سنجی شرکت کردم برنامه شما عالیه باشین همیشه
1,اقای رشید پور بگو که دوست دارم تورو خدا قسمت میدم بگووو
1,استاد بزرگ محمد رضا شجریان در آلبوم سرو چمان بسیار زیبا خوندن همای گو مفکن سایه شرف هرگز بر آن دیار که طوطی کم از زغن باشد
1,آقای نشاط شما یه دونه حامی حقوق دهه شصتیا
1,تبریک اما بی عدالتیه ک محمدرضا گلزار ۲ سال پولساز باشه اما تو اینطور مواقع
1,درود بیکران برنامتون بسیار عالیه اگه ممکنه از مسیولین بیشتر دعوت بشه و روز قبلش هم به مخاطبین اطلاع رسانی بشه تا هم پوستشونو بکنیم هم راهکار نشونشون بدیم سپاس
1,خوشحال شدم از شروع دوباره برنامه از سانفرانسیکو آمریکا برنامه رو میبینم 
1,سلام آقای رشید پور برنامه تون واقعا عالی بود انشا الله خیلی سریع برگردید
1,وزیر اموزش پرورش جوابگو نیست
1,بگید یکمی مثل نقی تو پایتخت صحبت کند
1,خوشحال شدیم از شروع دوباره برنامه تون
1,آقای رشید پور خیلی گلی
1,بله عالیه امیدوارم همیشه موفق باشید
1,وای چه عالیه به به جناب آقای رشیدپور سپاس 
